DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-08-26 09:00:30,BigT,Level 20 epic Crypt,Braided Chest,25,Strike_for_Cake
2025-08-26 09:00:30,Kalabar,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Taugal,Level 20 Crypt,Sand Chest,20,Strike_for_Cake
2025-08-26 09:00:30,Kalabar,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Morg,Level 10 Crypt,Cobra Chest,1,Strike_for_Cake
2025-08-26 09:00:30,Kalabar,Level 15 Crypt,Barbarian Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Kalabar,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Kalabar,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Kalabar,Level 15 Crypt,Barbarian Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Kalabar,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-26 09:00:30,BigT,Level 20 epic Crypt,Braided Chest,25,Strike_for_Cake
2025-08-26 09:00:30,aghaté tyché,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-26 09:00:30,aghaté tyché,Level 15 Crypt,Gnome Workshop Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Barbarian Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Kigam,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Kigam,Level 15 Crypt,Infernal Chest,15,Strike_for_Cake
2025-08-26 09:00:30,aghaté tyché,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Showman,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Showman,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Showman,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Showman,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Showman,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Showman,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Ragnar,Level 15 Crypt,Stone Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Ragnar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-26 09:00:30,Showman,Level 15 Crypt,Cobra Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Showman,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-26 09:00:30,BigT,Level 25 epic Crypt,Turtle Chest,36,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Gnome Workshop Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Chirikawa,Level 20 Crypt,Stone Chest,20,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Cobra Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Chirikawa,Level 20 Crypt,Infernal Chest,20,Strike_for_Cake
2025-08-26 09:00:30,Chirikawa,Level 15 Crypt,Stone Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Gnome Workshop Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Jack Oswald,Level 10 Crypt,Bone Chest,1,Strike_for_Cake
2025-08-26 09:00:30,Jack Oswald,Level 10 Crypt,Stone Chest,1,Strike_for_Cake
2025-08-26 09:00:30,BigT,Level 20 epic Crypt,Minotaur Chest,25,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Infernal Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Periwyn,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Periwyn,Level 20 Crypt,Barbarian Chest,20,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Cobra Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Lava Lynx Zius,Clan wealth,Common Chest of Wealth,5,Strike_for_Cake
2025-08-26 09:00:30,Lava Lynx Zius,Clan wealth,Uncommon Chest of Wealth,5,Strike_for_Cake
2025-08-26 09:00:30,Lava Lynx Zius,Clan wealth,Rare Chest of Wealth,5,Strike_for_Cake
2025-08-26 09:00:30,Lava Lynx Zius,Clan wealth,Epic Chest of Wealth,5,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Cobra Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Ghodred,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 20 Citadel,Elven Citadel Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Ghodred,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Thorgal,Level 10 Citadel,Elven Citadel Chest,1,Strike_for_Cake
2025-08-26 09:00:30,Kantrius,Level 10 Crypt,Orc Chest,1,Strike_for_Cake
2025-08-26 09:00:30,Chirikawa,Level 20 Citadel,Cursed Citadel Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Gazius,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-26 09:00:30,Taugal,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 20 Citadel,Elven Citadel Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Chirikawa,Level 20 Citadel,Elven Citadel Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Chirikawa,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-26 09:00:30,Gazius,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
2025-08-26 09:00:30,Gazius,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-26 09:00:30,Kosak,Level 20 Citadel,Elven Citadel Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Gazius,Level 20 epic Crypt,White Wood Chest,25,Strike_for_Cake
2025-08-26 09:00:30,Thorgal,Level 10 Citadel,Elven Citadel Chest,1,Strike_for_Cake
2025-08-26 09:00:30,Kosak,Level 20 Citadel,Elven Citadel Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Souffleblue,Level 20 epic Crypt,Ancient Warrior's Chest,25,Strike_for_Cake
2025-08-26 09:00:30,Souffleblue,Level 20 epic Crypt,Ancient Warrior's Chest,25,Strike_for_Cake
2025-08-26 09:00:30,Souffleblue,Level 20 epic Crypt,Harpy Chest,25,Strike_for_Cake
2025-08-26 09:00:30,Souffleblue,Level 20 epic Crypt,Ancient Warrior's Chest,25,Strike_for_Cake
2025-08-26 09:00:30,Nimvenilas,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Souffleblue,Level 20 epic Crypt,Ancient Warrior's Chest,25,Strike_for_Cake
2025-08-26 09:00:30,Souffleblue,Level 20 epic Crypt,Scorpion Chest,25,Strike_for_Cake
2025-08-26 09:00:30,Zombie Tony,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-26 09:00:30,higgowoman,Level 20 Citadel,Elven Citadel Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Nimvenilas,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-26 09:00:30,Souffleblue,Level 20 epic Crypt,Ancient Warrior's Chest,25,Strike_for_Cake
2025-08-26 09:00:30,Souffleblue,Level 20 epic Crypt,Scorpion Chest,25,Strike_for_Cake
2025-08-26 09:00:30,Kosak,Level 20 Crypt,Gnome Workshop Chest,20,Strike_for_Cake
