DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-08-28 02:54:46,Beydeland,Level 20 epic Crypt,Priest's Chest,25,Strike_for_Cake
2025-08-28 02:54:46,higgowoman,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-28 02:54:46,Sabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Kalabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-28 02:54:46,Kalabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Sabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-28 02:54:46,Sabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Sabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Kigam,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-28 02:54:46,higgowoman,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-28 02:54:46,Apollo Jr,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Zombie Tony,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Kigam,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-28 02:54:46,Apollo Jr,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Apollo Jr,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Kigam,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-28 02:54:46,Zombie Tony,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-28 02:54:46,Apollo Jr,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Kigam,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-28 02:54:46,Apollo Jr,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Taugal,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Showman,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-28 02:54:46,Zombie Tony,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Enneen,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Zombie Tony,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Zombie Tony,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Apollo Jr,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Zombie Tony,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Zombie Tony,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Apollo Jr,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Taugal,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Zombie Tony,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-28 02:54:46,Taugal,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Apollo Jr,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 02:54:46,Enneen,Level 25 Crypt,Gnome Workshop Chest,36,Strike_for_Cake
2025-08-28 02:54:46,Apollo Jr,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
