DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-08-30 00:58:40,Nice n Spicy Sers,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-30 00:58:40,Nice n Spicy Sers,Level 15 Crypt,Fire Chest,15,Strike_for_Cake
2025-08-30 00:58:40,Nice n Spicy Sers,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-30 00:58:40,Kosak,Level 25 epic Crypt,Trillium Chest,36,Strike_for_Cake
2025-08-30 00:58:40,TuTo Il,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-30 00:58:40,Zombie Tony,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-30 00:58:40,Taugal,Level 20 Citadel,Cursed Citadel Chest,15,Strike_for_Cake
2025-08-30 00:58:40,Nice n Spicy Sers,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-30 00:58:40,Art,Level 20 epic Crypt,Scorpion Chest,25,Strike_for_Cake
2025-08-30 00:58:40,Taugal,Level 20 Citadel,Cursed Citadel Chest,15,Strike_for_Cake
2025-08-30 00:58:40,Nice n Spicy Sers,Level 10 Citadel,Elven Citadel Chest,1,Strike_for_Cake
2025-08-30 00:58:40,Art,Level 20 epic Crypt,Turtle Chest,25,Strike_for_Cake
2025-08-30 00:58:40,Nice n Spicy Sers,Level 15 Crypt,Fire Chest,15,Strike_for_Cake
2025-08-30 00:58:40,Nice n Spicy Sers,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-30 00:58:40,Kamil,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-30 00:58:40,Kamil,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-30 00:58:40,Kamil,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-30 00:58:40,Nice n Spicy Sers,Level 15 Crypt,Stone Chest,15,Strike_for_Cake
