DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-08-18 00:00:00,Chrisbreezy,Level 20 Crypt,Sand Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 Crypt,Bone Chest,20,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 20 Crypt,Cobra Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Brianna,Level 20 Crypt,Gnome Workshop Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Brianna,Level 20 Crypt,Barbarian Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Reiner,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 25 Crypt,Cobra Chest,36,Strike_for_Cake
2025-08-18 00:00:00,Reiner,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Brianna,Level 20 Crypt,Bone Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 epic Crypt,Scorpion Chest,25,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 epic Crypt,Braided Chest,25,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 20 Crypt,Cobra Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 25 Crypt,Cobra Chest,36,Strike_for_Cake
2025-08-18 00:00:00,Satoru Gojo,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 20 Crypt,Cobra Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Brianna,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 20 Crypt,Cobra Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Gririm,Level 20 epic Crypt,Chest of the Cursed,25,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 20 Crypt,Mayan Chest,20,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 20 Crypt,Cobra Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Reiner,Level 15 Crypt,Infernal Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Gririm,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Gririm,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Satoru Gojo,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 25 Crypt,Cobra Chest,36,Strike_for_Cake
2025-08-18 00:00:00,Kigam,Level 15 Crypt,Infernal Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Kigam,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Satoru Gojo,Level 15 epic Crypt,Ancient Warrior's Chest,10,Strike_for_Cake
2025-08-18 00:00:00,Satoru Gojo,Level 15 Crypt,Gnome Workshop Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Gririm,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Kamil,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-18 00:00:00,Eddy,Level 20 Crypt,Bone Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Ra,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Ra,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Ra,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Ra,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Filor,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Filor,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Filor,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Filor,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Filor,Rise of the Ancients event,Quick March Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Diabolik zius,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Diabolik zius,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Diabolik zius,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Diabolik zius,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Diabolik zius,Rise of the Ancients event,Quick March Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Marilune,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Marilune,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Marilune,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Marilune,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Kosak,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Kosak,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Kosak,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Kosak,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Jarven,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Jarven,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Jarven,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Jarven,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Tera,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
2025-08-18 00:00:00,Tera,Rise of the Ancients event,Ancients' Chest,30,Strike_for_Cake
